"movieId","movieTitle","movieYear","movieURL","movieRank","critic_score","audience_score"
"761bdf23-a137-3e5e-a7b9-8609cbb49b66","8 1/2",1963,"https://www.rottentomatoes.com/m/8-12",191,"97%","92%"
"a13df12a-09ef-4a73-809d-a85f3730aee2","Marriage Story",2019,"https://www.rottentomatoes.com/m/marriage_story_2019",192,"95%","85%"
"ff2ebd36-dbea-398c-80a5-8fdc2118e52b","Searching for Bobby Fischer",1993,"https://www.rottentomatoes.com/m/searching_for_bobby_fischer",193,"100%","86%"
"58f41cfc-3c64-3717-a536-077476d01ffc","Battleship Potemkin",1925,"https://www.rottentomatoes.com/m/battleship_potemkin",194,"100%","86%"
"71bca0be-a888-343b-996f-5817fe2c90c1","Sullivan's Travels",1941,"https://www.rottentomatoes.com/m/sullivans_travels",195,"100%","89%"
"582fb8f6-d952-3d64-8dea-0f410b7c79dd","The Red Circle",1970,"https://www.rottentomatoes.com/m/le_cercle_rouge",196,"96%","92%"
"2f406d5d-ef7d-3cc2-b87d-9f07985d8a89","The Lost Weekend",1945,"https://www.rottentomatoes.com/m/lost_weekend",197,"97%","90%"
"0416dcb9-8dc3-31ac-9164-9d263a9331dd","The Nightmare Before Christmas",1993,"https://www.rottentomatoes.com/m/nightmare_before_christmas",198,"95%","92%"
"07d7f9a2-3fa1-342a-b6ca-27fd594e04c6","Oppenheimer",2023,"https://www.rottentomatoes.com/m/oppenheimer_2023",199,"93%","91%"
"41413e5e-1881-3efe-890d-58d23eec1a79","The Discreet Charm of the Bourgeoisie",1972,"https://www.rottentomatoes.com/m/the_discreet_charm_of_the_bourgeoisie",200,"98%","88%"
"21adb372-9d21-3fcc-9618-d82725f39b6d","The Lord of the Rings: The Fellowship of the Ring",2001,"https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring",201,"92%","95%"
"27b621dd-46c0-3deb-90be-d63e84f9fc32","Ford v Ferrari",2019,"https://www.rottentomatoes.com/m/ford_v_ferrari",202,"92%","98%"
"a7b6c671-de4e-3e25-8802-da24a4c53752","My Left Foot",1989,"https://www.rottentomatoes.com/m/my_left_foot",203,"98%","92%"
"d54a8e9e-a248-32f7-8dd1-604c76898a89","Room",2015,"https://www.rottentomatoes.com/m/room_2015",204,"93%","93%"
"0fd51ade-60eb-3534-888c-5c6956257dc5","The Lord of the Rings: The Return of the King",2003,"https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king",205,"94%","86%"
"eb6b7381-1511-3c4a-9067-7bbf355a7094","A Night at the Opera",1935,"https://www.rottentomatoes.com/m/1015002-night_at_the_opera",206,"97%","90%"
"26d41c4c-768e-3764-b39f-50be8bc40034","Halloween",1978,"https://www.rottentomatoes.com/m/1009113-halloween",207,"96%","89%"
"4bda4d5c-f577-46ec-ab3a-b5942975b47f","Air",2023,"https://www.rottentomatoes.com/m/air_2023",208,"93%","98%"
"f0065ecf-6489-35cd-82b3-35873e1f4526","The Sweet Hereafter",1997,"https://www.rottentomatoes.com/m/sweet_hereafter",209,"98%","86%"
"5cd0586b-4a43-3042-b386-20d5d5dbf9b3","Playtime",1967,"https://www.rottentomatoes.com/m/playtime",210,"98%","89%"
"0ae5851f-5dd8-31bd-a2e0-919de2997bd5","True Grit",2010,"https://www.rottentomatoes.com/m/true_grit_2010",211,"95%","85%"
"221fa839-d26f-3339-a64a-9eaf6b39674c","A Quiet Place",2018,"https://www.rottentomatoes.com/m/a_quiet_place_2018",212,"96%","83%"
